FieldID,ID,Deploy_ID,Country,Island,Site,SubCol,SubCol_Code,Species,Year,Phenology,NestNo,GPS_Y_N,GPS_ID,GPS_programmed_start_datetime_local,DeplSess,GPS_Interval_seconds,GPS_notes,Tagging_Event,Contents,Chick_Stage,Capture_date_local,Capture_time_local,Release_time_local,UTC_LocalTime_offset_hours,UTC,BandNo,R_L,offset,GPS_TagRecov,TDR_TagRecov,Notes,Capture_loc,Blood_FTA,Blood_vial,Feathers,GPS_Track_File,revised_sample_no,TDR_Y_N,TDR_ID,TDR_File,Sex,How_Sexed,Age,Diet,Mass,Culmen,Nest_Lat_DD,Nest_Long_DD,Col_Lat_DD,Col_Long_DD,Nest_loc_use,Date_Modified,Time_Modified,Wing,Processor,Chick % adult sz,Chick Primaries growing
LEH2014BRBO007A,17,388,USA,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,7,Y,642,2014-05-13 12:00:00,1,120,,D,LDC,,2014-05-16,8:38,8:50,-10,2014-05-16 18:50:00,2017-24337,L,,0,0,,,N,N,N,,,Y,A10356,,F,P,AHY,N,,,22.016522,-160.093279,22.02152,-160.09614,0,,,,JF,,
LEH2014BRBO007A,2,388,USA,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,7,Y,642,2014-05-13 12:00:00,1,120,,R,LDC,,2014-05-18,17:52,18:05,-10,2014-05-19 03:52:00,2017-24337,L,,1,1,,,Y,Y,N,LEH_BRBO_007_24337_642_051814,,Y,A10356,LEH_BRBO_007_24337_A10356_051814,F,P,AHY,Y,1281,102.3,22.016522,-160.093279,22.02152,-160.09614,0,,,,JF,,
LEH2014BRBO010A,53,398,USA,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,10,Y,641,2014-06-13 12:00:00,2,120,,D,MDC,4,2014-06-14,15:30,15:43,-10,2014-06-15 01:43:00,2017-24350,L,,0,0,,,N,N,N,,,Y,A10343,,F,P,AHY,Y,,,22.01943,-160.092999,22.02152,-160.09614,0,,,,SJ,,
LEH2014BRBO010A,64,398,USA,Kauai,Lehua,Lehua,LEH,BRBO,2014,MC,10,Y,641,2014-06-13 12:00:00,2,120,,R,MDC,4,2014-06-16,17:00,17:22,-10,2014-06-17 03:00:00,2017-24350,L,,1,1,,,Y,N,N,LEH2014BRBO010_061614,,Y,A10343,LEH2014BRBO010_A10343_061614,F,P,AHY,N,1800,97.9,22.01943,-160.092999,22.02152,-160.09614,0,,,,SJ,,
MCB2014RFBO035A,,619,USA,Oahu,Marine Corp Base Hawaii,Marine Corp Base Hawaii,MCB,RFBO,2014,MC,35,Y,751,2014-06-01 15:30:00,1,120,,D,MDC,,2014-06-01,19:05,19:15,-10,2014-06-02 05:15:00,2007-07109,L,,0,0,,Nest,N,N,N,,,Y,A10335,,M,D,AHY,N,,,,,21.458394,-157.723361,0,,,,,,
MCB2014RFBO035A,,619,USA,Oahu,Marine Corp Base Hawaii,Marine Corp Base Hawaii,MCB,RFBO,2014,MC,35,Y,751,2014-06-01 15:30:00,1,120,,R,MDC,,2014-06-05,18:44,,-10,2014-06-06 04:44:00,2007-07109,L,,1,1,,Nest,Y,Y,Y,MCB_RFBO_751_07109_751_060114,,Y,A10335,RFBO_MCB_751_07109_A10335_060114,M,D,AHY,N,905,81,,,21.458394,-157.723361,0,,,419,,20,Y
